"ID","X","Time","PopBio","PopBio_Log10","Temp","Time_units","PopBio_units","Species","Medium","Rep","Citation"
"1",1084,-0.923787528868615,0.00876183063721636,-2.05740514582039,"15","Hours","OD_595","Acinetobacter.clacoaceticus..RDA.R.","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."
"1",1083,6.46651270207826,0.0408110993054225,-1.38922170672516,"15","Hours","OD_595","Acinetobacter.clacoaceticus..RDA.R.","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."
"1",1082,22.1709006928405,0.0515824618920273,-1.28749793399708,"15","Hours","OD_595","Acinetobacter.clacoaceticus..RDA.R.","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."
"1",1081,47.1131639722861,0.0970820769805576,-1.01286094091503,"15","Hours","OD_595","Acinetobacter.clacoaceticus..RDA.R.","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."
"1",1080,71.1316397228635,0.158575533485561,-0.799763818858793,"15","Hours","OD_595","Acinetobacter.clacoaceticus..RDA.R.","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."
"1",1079,95.150115473441,0.180068989990564,-0.74456107138671,"15","Hours","OD_595","Acinetobacter.clacoaceticus..RDA.R.","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."
"1",1078,119.168591224018,0.169562446495568,-0.770670325933374,"15","Hours","OD_595","Acinetobacter.clacoaceticus..RDA.R.","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."
"1",1077,143.187066974596,0.164389236333906,-0.784126622038212,"15","Hours","OD_595","Acinetobacter.clacoaceticus..RDA.R.","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."
"1",1076,168.129330254042,0.148555518089102,-0.828111211708592,"15","Hours","OD_595","Acinetobacter.clacoaceticus..RDA.R.","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."
"1",1075,191.224018475751,0.148709482677247,-0.827661337173435,"15","Hours","OD_595","Acinetobacter.clacoaceticus..RDA.R.","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."
"1",1074,215.242494226328,0.148869605848917,-0.827193961478879,"15","Hours","OD_595","Acinetobacter.clacoaceticus..RDA.R.","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."
"1",1073,239.260969976905,0.138363062353921,-0.858979834423709,"15","Hours","OD_595","Acinetobacter.clacoaceticus..RDA.R.","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."
"1",1072,263.279445727483,0.125189852192258,-0.902430873326233,"15","Hours","OD_595","Acinetobacter.clacoaceticus..RDA.R.","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."
"1",1071,287.29792147806,0.122683308697262,-0.911214519862797,"15","Hours","OD_595","Acinetobacter.clacoaceticus..RDA.R.","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."
"1",1070,311.316397228637,0.117510098535599,-0.929924809563897,"15","Hours","OD_595","Acinetobacter.clacoaceticus..RDA.R.","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."
"1",1069,335.334872979215,0.115003555040602,-0.939288734336363,"15","Hours","OD_595","Acinetobacter.clacoaceticus..RDA.R.","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."
"1",1068,359.353348729792,0.112497011545607,-0.948859014321425,"15","Hours","OD_595","Acinetobacter.clacoaceticus..RDA.R.","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."
"1",1067,383.37182448037,0.101990468050611,-0.991440415164169,"15","Hours","OD_595","Acinetobacter.clacoaceticus..RDA.R.","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."
"1",1066,407.390300230947,0.102150591222281,-0.990759115435535,"15","Hours","OD_595","Acinetobacter.clacoaceticus..RDA.R.","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."
